id,word,url
0,a (little) bit more about,https://www.oxfordlearnersdictionaries.com/definition/academic/bit#bit__40
1,a (whole) range of,https://www.oxfordlearnersdictionaries.com/definition/academic/range1#range1__170
2,a (whole) series of,https://www.oxfordlearnersdictionaries.com/definition/academic/series#series__15
3,a better understanding of,https://www.oxfordlearnersdictionaries.com/definition/academic/understanding#understanding__15
4,a bit like,https://www.oxfordlearnersdictionaries.com/definition/academic/bit#bit__22
5,a certain amount of,https://www.oxfordlearnersdictionaries.com/definition/academic/amount1#amount1__18
6,a change in,https://www.oxfordlearnersdictionaries.com/definition/academic/change1#change1__15
7,a combination of,https://www.oxfordlearnersdictionaries.com/definition/academic/combination#combination__15
8,a function of,https://www.oxfordlearnersdictionaries.com/definition/academic/function1
9,a group of,https://www.oxfordlearnersdictionaries.com/definition/academic/group1#group1__17
10,a high degree of,https://www.oxfordlearnersdictionaries.com/definition/academic/degree#degree__15
11,a high level of,https://www.oxfordlearnersdictionaries.com/definition/academic/level1#level1__296
12,a kind of,https://www.oxfordlearnersdictionaries.com/definition/academic/kind1
13,a large number of,https://www.oxfordlearnersdictionaries.com/definition/academic/number1#number1__15
14,a little bit (of),https://www.oxfordlearnersdictionaries.com/definition/academic/bit#bit__73
15,a little bit about,https://www.oxfordlearnersdictionaries.com/definition/academic/bit#bit__40
16,a measure of,https://www.oxfordlearnersdictionaries.com/definition/academic/measure2#measure2__169
17,a number of,https://www.oxfordlearnersdictionaries.com/definition/academic/number1
18,a number of different,https://www.oxfordlearnersdictionaries.com/definition/academic/different#different__223
19,a sense of,https://www.oxfordlearnersdictionaries.com/definition/academic/sense1#sense1__90
20,a series of,https://www.oxfordlearnersdictionaries.com/definition/academic/series#series__15
21,a small number of,https://www.oxfordlearnersdictionaries.com/definition/academic/small#small__21
22,a sort of,https://www.oxfordlearnersdictionaries.com/definition/academic/sort1
23,a variety of,https://www.oxfordlearnersdictionaries.com/definition/academic/variety#variety__18
24,a very important,https://www.oxfordlearnersdictionaries.com/definition/academic/important#important__12
25,a way of,https://www.oxfordlearnersdictionaries.com/definition/academic/way#way__15
26,a/the reduction in,https://www.oxfordlearnersdictionaries.com/definition/academic/reduction#reduction__15
27,a/the type of,https://www.oxfordlearnersdictionaries.com/definition/academic/type1#type1__15
28,ability,https://www.oxfordlearnersdictionaries.com/definition/academic/ability
29,abnormal,https://www.oxfordlearnersdictionaries.com/definition/academic/abnormal
30,abnormality,https://www.oxfordlearnersdictionaries.com/definition/academic/abnormality
31,above,https://www.oxfordlearnersdictionaries.com/definition/academic/above3
32,above,https://www.oxfordlearnersdictionaries.com/definition/academic/above2
33,absence,https://www.oxfordlearnersdictionaries.com/definition/academic/absence
34,absent,https://www.oxfordlearnersdictionaries.com/definition/academic/absent
35,absolute,https://www.oxfordlearnersdictionaries.com/definition/academic/absolute1
36,academic,https://www.oxfordlearnersdictionaries.com/definition/academic/academic1
37,academic,https://www.oxfordlearnersdictionaries.com/definition/academic/academic2
38,accept,https://www.oxfordlearnersdictionaries.com/definition/academic/accept
39,acceptable,https://www.oxfordlearnersdictionaries.com/definition/academic/acceptable
40,acceptance,https://www.oxfordlearnersdictionaries.com/definition/academic/acceptance
41,access,https://www.oxfordlearnersdictionaries.com/definition/academic/access1
42,access,https://www.oxfordlearnersdictionaries.com/definition/academic/access2
43,accessible,https://www.oxfordlearnersdictionaries.com/definition/academic/accessible
44,according to,https://www.oxfordlearnersdictionaries.com/definition/academic/according-to
45,according to,https://www.oxfordlearnersdictionaries.com/definition/academic/according-to
46,accordingly,https://www.oxfordlearnersdictionaries.com/definition/academic/accordingly
47,account,https://www.oxfordlearnersdictionaries.com/definition/academic/account1
48,account,https://www.oxfordlearnersdictionaries.com/definition/academic/account2
49,accountability,https://www.oxfordlearnersdictionaries.com/definition/academic/accountability
50,accumulate,https://www.oxfordlearnersdictionaries.com/definition/academic/accumulate
51,accumulation,https://www.oxfordlearnersdictionaries.com/definition/academic/accumulation
52,accuracy,https://www.oxfordlearnersdictionaries.com/definition/academic/accuracy
53,accurate,https://www.oxfordlearnersdictionaries.com/definition/academic/accurate
54,accurately,https://www.oxfordlearnersdictionaries.com/definition/academic/accurately
55,achieve,https://www.oxfordlearnersdictionaries.com/definition/academic/achieve
56,achievement,https://www.oxfordlearnersdictionaries.com/definition/academic/achievement
57,acknowledge,https://www.oxfordlearnersdictionaries.com/definition/academic/acknowledge
58,acquire,https://www.oxfordlearnersdictionaries.com/definition/academic/acquire
59,acquisition,https://www.oxfordlearnersdictionaries.com/definition/academic/acquisition
60,act,https://www.oxfordlearnersdictionaries.com/definition/academic/act2
61,act,https://www.oxfordlearnersdictionaries.com/definition/academic/act1
62,action,https://www.oxfordlearnersdictionaries.com/definition/academic/action
63,active,https://www.oxfordlearnersdictionaries.com/definition/academic/active1
64,actively,https://www.oxfordlearnersdictionaries.com/definition/academic/actively
65,activity,https://www.oxfordlearnersdictionaries.com/definition/academic/activity
66,actual,https://www.oxfordlearnersdictionaries.com/definition/academic/actual
67,actually,https://www.oxfordlearnersdictionaries.com/definition/academic/actually
68,adapt,https://www.oxfordlearnersdictionaries.com/definition/academic/adapt
69,adaptation,https://www.oxfordlearnersdictionaries.com/definition/academic/adaptation
70,adaptive,https://www.oxfordlearnersdictionaries.com/definition/academic/adaptive
71,add,https://www.oxfordlearnersdictionaries.com/definition/academic/add
72,addition,https://www.oxfordlearnersdictionaries.com/definition/academic/addition
73,additional,https://www.oxfordlearnersdictionaries.com/definition/academic/additional
74,additionally,https://www.oxfordlearnersdictionaries.com/definition/academic/additionally
75,address,https://www.oxfordlearnersdictionaries.com/definition/academic/address1
76,adequate,https://www.oxfordlearnersdictionaries.com/definition/academic/adequate
77,adequately,https://www.oxfordlearnersdictionaries.com/definition/academic/adequately
78,adjust,https://www.oxfordlearnersdictionaries.com/definition/academic/adjust
79,adjustment,https://www.oxfordlearnersdictionaries.com/definition/academic/adjustment
80,administer,https://www.oxfordlearnersdictionaries.com/definition/academic/administer
81,administration,https://www.oxfordlearnersdictionaries.com/definition/academic/administration
82,administrative,https://www.oxfordlearnersdictionaries.com/definition/academic/administrative
83,adopt,https://www.oxfordlearnersdictionaries.com/definition/academic/adopt
84,adult,https://www.oxfordlearnersdictionaries.com/definition/academic/adult2
85,adult,https://www.oxfordlearnersdictionaries.com/definition/academic/adult1
86,advantage,https://www.oxfordlearnersdictionaries.com/definition/academic/advantage1
87,affect,https://www.oxfordlearnersdictionaries.com/definition/academic/affect1
88,again,https://www.oxfordlearnersdictionaries.com/definition/academic/again
89,age,https://www.oxfordlearnersdictionaries.com/definition/academic/age1
90,agenda,https://www.oxfordlearnersdictionaries.com/definition/academic/agenda
91,agent,https://www.oxfordlearnersdictionaries.com/definition/academic/agent
92,agreement,https://www.oxfordlearnersdictionaries.com/definition/academic/agreement
93,agricultural,https://www.oxfordlearnersdictionaries.com/definition/academic/agricultural
94,aim,https://www.oxfordlearnersdictionaries.com/definition/academic/aim1
95,aim,https://www.oxfordlearnersdictionaries.com/definition/academic/aim2
96,all kinds of,https://www.oxfordlearnersdictionaries.com/definition/academic/kind1#kind1__15
97,all right,https://www.oxfordlearnersdictionaries.com/definition/academic/all-right1#all-right1__23
98,all right so,https://www.oxfordlearnersdictionaries.com/definition/academic/all-right1#all-right1__23
99,all sorts,https://www.oxfordlearnersdictionaries.com/definition/academic/sort1#sort1__15
100,all sorts of,https://www.oxfordlearnersdictionaries.com/definition/academic/sort1#sort1__15
101,allow,https://www.oxfordlearnersdictionaries.com/definition/academic/allow
102,almost,https://www.oxfordlearnersdictionaries.com/definition/academic/almost
103,already,https://www.oxfordlearnersdictionaries.com/definition/academic/already
104,also,https://www.oxfordlearnersdictionaries.com/definition/academic/also
105,alter,https://www.oxfordlearnersdictionaries.com/definition/academic/alter
106,alteration,https://www.oxfordlearnersdictionaries.com/definition/academic/alteration
107,alternative,https://www.oxfordlearnersdictionaries.com/definition/academic/alternative1
108,alternative,https://www.oxfordlearnersdictionaries.com/definition/academic/alternative2
109,alternatively,https://www.oxfordlearnersdictionaries.com/definition/academic/alternatively
110,although,https://www.oxfordlearnersdictionaries.com/definition/academic/although
111,among,https://www.oxfordlearnersdictionaries.com/definition/academic/among
112,amount,https://www.oxfordlearnersdictionaries.com/definition/academic/amount1
113,amount,https://www.oxfordlearnersdictionaries.com/definition/academic/amount2
114,an awful lot of,https://www.oxfordlearnersdictionaries.com/definition/academic/lot2#lot2__15
