id,word,url
0,a bit,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_1
1,a bit more,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_1
2,a bit of a…,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_15
3,a bit of sth,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_3
4,a couple of sth,https://www.oxfordlearnersdictionaries.com/definition/english/couple_1#couple_sng_3
5,a few,https://www.oxfordlearnersdictionaries.com/definition/english/few_1#few_sng_2
6,a good idea,https://www.oxfordlearnersdictionaries.com/definition/english/idea#idea_sng_1
7,a great deal,https://www.oxfordlearnersdictionaries.com/definition/english/deal_2#deal_sng_32
8,a kind of...,https://www.oxfordlearnersdictionaries.com/definition/english/kind_1#kind_sng_4
9,a little,https://www.oxfordlearnersdictionaries.com/definition/english/little_2#little_sng_9
10,a little bit,https://www.oxfordlearnersdictionaries.com/definition/english/bit#bit_sng_1
11,a little more,https://www.oxfordlearnersdictionaries.com/definition/english/more_2#more_sng_4
12,a long time ago,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_6
13,a long way,https://www.oxfordlearnersdictionaries.com/definition/english/way_1#way_sng_4
14,a lot,https://www.oxfordlearnersdictionaries.com/definition/english/lot_1#lot_sng_1
15,a lot more,https://www.oxfordlearnersdictionaries.com/definition/english/lot_3#lot_sng_3
16,a lot of sth,https://www.oxfordlearnersdictionaries.com/definition/english/lot_2#lot_sng_2
17,a means of sth,https://www.oxfordlearnersdictionaries.com/definition/english/means#means_sng_1
18,a number of sth,https://www.oxfordlearnersdictionaries.com/definition/english/number_1#number_sng_4
19,a period of time,https://www.oxfordlearnersdictionaries.com/definition/english/period_1#period_sng_1
20,a range of sth,https://www.oxfordlearnersdictionaries.com/definition/english/range_1#range_sng_1
21,a variety of sth,https://www.oxfordlearnersdictionaries.com/definition/english/variety_1#variety_sng_1
22,able to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/able_1#able_sng_1
23,above all,https://www.oxfordlearnersdictionaries.com/definition/english/above_1#above_sng_6
24,access to sth,https://www.oxfordlearnersdictionaries.com/definition/english/access_1#access_sng_1
25,account for sth,https://www.oxfordlearnersdictionaries.com/definition/english/account-for
26,accused of sth,https://www.oxfordlearnersdictionaries.com/definition/english/accuse
27,act as sth,https://www.oxfordlearnersdictionaries.com/definition/english/act_1
28,add to sth,https://www.oxfordlearnersdictionaries.com/definition/english/add-to#add_sng_18
29,after all,https://www.oxfordlearnersdictionaries.com/definition/english/after_1#after_sng_12
30,again and again,https://www.oxfordlearnersdictionaries.com/definition/english/again#again_sng_1
31,agree with sb,https://www.oxfordlearnersdictionaries.com/definition/english/agree#agree_sng_1
32,aim to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_4
33,aimed at doing sth,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_5
34,aimed at sb,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_4
35,all about…,https://www.oxfordlearnersdictionaries.com/definition/english/all_3#all_sng_39
36,all but,https://www.oxfordlearnersdictionaries.com/definition/english/all_3#all_sng_29
37,all day,https://www.oxfordlearnersdictionaries.com/definition/english/all-day
38,all kinds of…,https://www.oxfordlearnersdictionaries.com/definition/english/kind_1#kind_sng_1
39,all over the world,https://www.oxfordlearnersdictionaries.com/definition/english/world#world_sng_1
40,all over…,https://www.oxfordlearnersdictionaries.com/definition/english/all_3#all_sng_34
41,all sorts of…,https://www.oxfordlearnersdictionaries.com/definition/english/sort_1#sort_sng_1
42,all the more,https://www.oxfordlearnersdictionaries.com/definition/english/all_3#all_sng_28
43,all the time,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_17
44,all the way,https://www.oxfordlearnersdictionaries.com/definition/english/way_1#way_sng_15
45,along with sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/along_2#along_sng_7
46,alternative to sth,https://www.oxfordlearnersdictionaries.com/definition/english/alternative_1#alternative_sng_1
47,and so on,https://www.oxfordlearnersdictionaries.com/definition/english/forth_1#so_sng_11
48,anything else,https://www.oxfordlearnersdictionaries.com/definition/english/anything#anything_sng_1
49,apart from,https://www.oxfordlearnersdictionaries.com/definition/english/apart-from
50,appeal to sb,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2#appeal_sng_7
51,apply for sth,https://www.oxfordlearnersdictionaries.com/definition/english/apply#apply_sng_1
52,apply to sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/apply#apply_sng_4
53,around the world,https://www.oxfordlearnersdictionaries.com/definition/english/world#world_sng_1
54,arrive at…,https://www.oxfordlearnersdictionaries.com/definition/english/arrive#arrive_sng_1
55,arrive in…,https://www.oxfordlearnersdictionaries.com/definition/english/arrive#arrive_sng_1
56,art gallery,https://www.oxfordlearnersdictionaries.com/definition/english/art-gallery
57,as a result,https://www.oxfordlearnersdictionaries.com/definition/english/result_1#result_sng_1
58,as a whole,https://www.oxfordlearnersdictionaries.com/definition/english/whole_2#whole_sng_10
59,as far as i am concerned,https://www.oxfordlearnersdictionaries.com/definition/english/concerned#far_sng_36
60,as far as sb/sth is concerned,https://www.oxfordlearnersdictionaries.com/definition/english/concerned#far_sng_36
61,as follows…,https://www.oxfordlearnersdictionaries.com/definition/english/follow#follow_sng_2
62,as for sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_13
63,as if…,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_15
64,as long as…,https://www.oxfordlearnersdictionaries.com/definition/english/as_2#as_sng_4
65,as much as,https://www.oxfordlearnersdictionaries.com/definition/english/much_1#much_sng_1
66,as of…,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_14
67,as opposed to,https://www.oxfordlearnersdictionaries.com/definition/english/opposed#opposed_sng_3
68,as part of sth,https://www.oxfordlearnersdictionaries.com/definition/english/part_1#part_sng_3
69,as soon as,https://www.oxfordlearnersdictionaries.com/definition/english/soon#soon_sng_2
70,as soon as possible,https://www.oxfordlearnersdictionaries.com/definition/english/soon#soon_sng_1
71,as such,https://www.oxfordlearnersdictionaries.com/definition/english/such#such_sng_5
72,as though…,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_15
73,as to,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_18
74,as well,https://www.oxfordlearnersdictionaries.com/definition/english/well_1#well_sng_7
75,ask for sth,https://www.oxfordlearnersdictionaries.com/definition/english/ask_1#ask_sng_3
76,associated with sth,https://www.oxfordlearnersdictionaries.com/definition/english/associated#associated_sng_1
77,at first,https://www.oxfordlearnersdictionaries.com/definition/english/first_2#first_sng_8
78,at home,https://www.oxfordlearnersdictionaries.com/definition/english/home_1#home_sng_9
79,at last,https://www.oxfordlearnersdictionaries.com/definition/english/last1_3#last_hm1_sng_20
80,at least,https://www.oxfordlearnersdictionaries.com/definition/english/least_2#least_sng_5
81,at once,https://www.oxfordlearnersdictionaries.com/definition/english/once_1#once_sng_6
82,at present,https://www.oxfordlearnersdictionaries.com/definition/english/present_2#present_sng_7
83,at risk,https://www.oxfordlearnersdictionaries.com/definition/english/risk_1#risk_sng_4
84,at school,https://www.oxfordlearnersdictionaries.com/definition/english/school_1#school_sng_2
85,at some point,https://www.oxfordlearnersdictionaries.com/definition/english/point_1#point_sng_6
86,at the age of…,https://www.oxfordlearnersdictionaries.com/definition/english/age_1#age_sng_1
87,at the beginning of sth,https://www.oxfordlearnersdictionaries.com/definition/english/beginning#beginning_sng_1
88,at the end,https://www.oxfordlearnersdictionaries.com/definition/english/end_1#end_sng_1
89,at the end of sth,https://www.oxfordlearnersdictionaries.com/definition/english/end_1#end_sng_2
90,at the end of the day,https://www.oxfordlearnersdictionaries.com/definition/english/day#end_sng_43
91,at the expense of sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/expense#expense_sng_7
92,at the hands of sb,https://www.oxfordlearnersdictionaries.com/definition/english/hand_1#hand_sng_15
93,at the moment,https://www.oxfordlearnersdictionaries.com/definition/english/moment#moment_sng_2
94,at the same time,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_21
95,at the start of sth,https://www.oxfordlearnersdictionaries.com/definition/english/start_2#start_sng_28
96,at the time,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_4
97,at the time of sth,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_7
98,at the top,https://www.oxfordlearnersdictionaries.com/definition/english/top_1#top_sng_3
99,at the weekend,https://www.oxfordlearnersdictionaries.com/definition/english/weekend_1#weekend_sng_1
100,at this point,https://www.oxfordlearnersdictionaries.com/definition/english/point_1#point_sng_6
101,at this stage,https://www.oxfordlearnersdictionaries.com/definition/english/stage_1#stage_sng_1
102,at times,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_25
103,at university,https://www.oxfordlearnersdictionaries.com/definition/english/university#university_sng_1
104,at work,https://www.oxfordlearnersdictionaries.com/definition/english/work_2#work_sng_54
105,attached to sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/attached#attached_sng_3
106,awareness of sth,https://www.oxfordlearnersdictionaries.com/definition/english/awareness#awareness_sng_1
107,away from sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/away_1#away_sng_3
108,back and forth,https://www.oxfordlearnersdictionaries.com/definition/english/back_3#back_sng_41
109,back sb/sth up,https://www.oxfordlearnersdictionaries.com/definition/english/back-up
110,bad for sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/bad_1#bad_sng_8
111,bad news,https://www.oxfordlearnersdictionaries.com/definition/english/news#news_sng_5
112,bad thing,https://www.oxfordlearnersdictionaries.com/definition/english/bad_1#bad_sng_1
113,based on sth,https://www.oxfordlearnersdictionaries.com/definition/english/based#based_sng_1
114,be about to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/about_3#about_sng_18
115,be allowed to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/allow#allow_sng_1
116,be attributed to sb,https://www.oxfordlearnersdictionaries.com/definition/english/attribute_1
117,be charged with sth,https://www.oxfordlearnersdictionaries.com/definition/english/charge_2#charge_sng_21
118,be derived from sth,https://www.oxfordlearnersdictionaries.com/definition/english/be-derived-from#derive_sng_4
119,be entitled to sth,https://www.oxfordlearnersdictionaries.com/definition/english/entitle#entitle_sng_1
120,be expected to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/expected
121,be found to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/find_1#find_sng_4
122,be going on,https://www.oxfordlearnersdictionaries.com/definition/english/go-on#go_sng_303
123,be going to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/go_1#go_sng_40
124,be known as sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/know_1#know_sng_6
125,be known to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/know_1#know_sng_10
126,be made of sth,https://www.oxfordlearnersdictionaries.com/definition/english/make_1#make_sng_1
127,be made up of sth,https://www.oxfordlearnersdictionaries.com/definition/english/make-up_1#make_sng_83
128,be meant to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/mean_1#mean_sng_3
129,be reported to be sth,https://www.oxfordlearnersdictionaries.com/definition/english/report_2#report_sng_1
130,be said to be sth,https://www.oxfordlearnersdictionaries.com/definition/english/say_1#say_sng_1
131,be supposed to do sth,https://www.oxfordlearnersdictionaries.com/definition/english/suppose#suppose_sng_4
132,be surrounded by sb/sth,https://www.oxfordlearnersdictionaries.com/definition/english/surround_1#surround_sng_1
133,be to blame,https://www.oxfordlearnersdictionaries.com/definition/english/blame_1#blame_sng_2
134,bear sb/sth in mind,https://www.oxfordlearnersdictionaries.com/definition/english/bear_1#mind_sng_60
135,because of,https://www.oxfordlearnersdictionaries.com/definition/english/because-of
136,begin with sth,https://www.oxfordlearnersdictionaries.com/definition/english/begin#begin_sng_4
